Participant,Condition,Block,Task,Trial,Target.x,Target.y,Targetsize.b,Targetsize.l,Target Area,MousePositions.x,MousePositions.y,Error.x,Error.y,Euclidean_distance_error,,Error_count,Target_count,Target Area_sort,,,,,,,,,,,,,,
3,Smart Tilt Pointer,2D Task,2D Target Selection Task,10,585,339,97,115,11155,31,56,0,0,0,,0,1,2176,,,191,95,60,101,6060,21,58,0,0,0,,
3,Smart Trackball,2D Task,2D Target Selection Task,1,898,27,115,56,6440,76,9,0,0,0,,0,1,2208,,,972,330,81,43,3483,76,10,222,341,361.7692635,,
3,Smart Trackball,2D Task,2D Target Selection Task,2,136,288,45,35,1575,70,21,0,0,0,,0,1,2210,,,630,323,72,44,3168,75,13,261,347,382.2983128,,
3,Smart Trackball,2D Task,2D Target Selection Task,3,837,345,100,118,11800,18,15,0,0,0,,0,1,2240,,,585,339,97,115,11155,31,56,0,0,0,,
3,Smart Trackball,2D Task,2D Target Selection Task,4,205,124,42,84,3528,69,19,0,0,0,,0,1,2250,,,,,,,,,,,,,,
3,Smart Trackball,2D Task,2D Target Selection Task,5,928,220,43,49,2107,31,34,0,0,0,,0,1,2275,,,,,,,,,,,,,,
3,Smart Trackball,2D Task,2D Target Selection Task,6,784,118,35,118,4130,26,21,0,0,0,,0,1,2278,,,,,,,,,,,,,,
3,Smart Trackball,2D Task,2D Target Selection Task,7,589,332,108,83,8964,86,60,0,0,0,,0,1,2294,,,,,,,,,,,,,,
3,Smart Trackball,2D Task,2D Target Selection Task,8,557,59,53,30,1590,45,21,0,0,0,,0,1,2300,,,,,,,,,,,,,,
3,Smart Trackball,2D Task,2D Target Selection Task,9,316,6,69,87,6003,48,65,0,0,0,,0,1,2310,,,,,,,,,,,,,,
3,Smart Trackball,2D Task,2D Target Selection Task,10,1000,209,82,65,5330,58,0,0,0,0,,0,1,2346,,,,,,,,,,,,,,
3,Smart Trackball,2D Task,2D Target Selection Task,11,269,37,93,41,3813,29,50,0,0,0,,0,1,2379,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,1,996,246,46,74,3404,39,32,35,13,19.41648784,,1,1,2394,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,2,854,228,120,129,15480,99,58,0,0,0,,0,1,2394,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,3,846,245,126,103,12978,77,39,42,48,36.138622,,1,1,2401,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,4,282,348,116,36,4176,83,12,0,0,0,,0,1,2405,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,5,331,103,73,98,7154,64,62,25,13,62.62587325,,1,1,2420,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,6,362,94,42,81,3402,24,60,0,0,0,,0,1,2420,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,7,911,325,51,92,4692,35,41,0,0,0,,0,1,2432,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,8,849,323,78,104,8112,35,48,0,0,0,,0,1,2440,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,9,2,6,91,118,10738,84,30,0,0,0,,0,1,2479,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,10,821,198,101,101,10201,68,50,0,0,0,,0,1,2508,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,11,259,77,38,123,4674,7,73,20,38,37.33630941,,1,1,2520,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,12,613,273,77,49,3773,38,38,0,0,0,,0,1,2528,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,13,42,316,80,70,5600,48,48,0,0,0,,0,1,2537,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,14,910,231,81,123,9963,43,96,0,0,0,,0,1,2537,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,15,544,124,92,81,7452,46,23,0,0,0,,0,1,2574,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,16,33,65,81,86,6966,61,45,0,0,0,,0,1,2622,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,17,655,72,75,107,8025,69,71,0,0,0,,0,1,2640,,,,,,,,,,,,,,
3,Smart Trackpad,2D Task,2D Target Selection Task,18,420,60,72,74,5328,59,20,14,7,46.84015371,,1,1,2660,,,,,,,,,,,,,,
3,Smart Rotate Pointer,2D Task,2D Target Selection Task,1,662,205,38,88,3344,6,22,0,0,0,,0,1,2666,,,,,,,,,,,,,,
3,Smart Rotate Pointer,2D Task,2D Target Selection Task,2,621,210,88,117,10296,50,38,0,0,0,,0,1,2698,,,,,,,,,,,,,,
3,Smart Rotate Pointer,2D Task,2D Target Selection Task,3,385,115,99,115,11385,65,36,0,0,0,,0,1,2703,,,,,,,,,,,,,,
3,Smart Rotate Pointer,2D Task,2D Target Selection Task,4,509,43,100,86,8600,51,7,29,33,34.05877273,,1,1,2709,,,,,,,,,,,,,,
3,Smart Rotate Pointer,2D Task,2D Target Selection Task,5,936,305,44,82,3608,36,29,0,0,0,,0,1,2736,,,,,,,,,,,,,,
3,Smart Rotate Pointer,2D Task,2D Target Selection Task,6,460,312,125,113,14125,20,50,0,0,0,,0,1,2747,,,,,,,,,,,,,,
3,Smart Rotate Pointer,2D Task,2D Target Selection Task,7,119,176,54,90,4860,11,25,0,0,0,,0,1,2769,,,,,,,,,,,,,,
3,Smart Rotate Pointer,2D Task,2D Target Selection Task,8,631,43,37,62,2294,22,34,6,10,28.8444102,,1,1,2772,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,1,468,342,75,46,3450,73,20,0,0,0,,0,1,2772,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,2,246,156,115,33,3795,94,26,0,0,0,,0,1,2773,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,3,655,329,106,92,9752,217,246,0,0,0,,0,1,2784,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,4,502,156,60,114,6840,85,24,0,0,0,,0,1,2788,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,5,917,255,39,43,1677,43,39,0,0,0,,0,1,2806,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,6,78,166,63,96,6048,17,26,0,0,0,,0,1,2814,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,7,615,153,60,124,7440,48,27,0,0,0,,0,1,2847,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,8,787,93,129,99,12771,12,40,0,0,0,,0,1,2856,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,9,114,28,111,93,10323,16,52,0,0,0,,0,1,2880,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,10,853,80,128,59,7552,87,64,0,0,0,,1,1,2880,,29,38,63.56099433,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,11,227,263,47,118,5546,70,28,0,0,0,,0,1,2886,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,12,221,96,75,104,7800,20,15,0,0,0,,0,1,2898,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,13,616,257,47,92,4324,58,23,0,0,0,,0,1,2920,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,14,695,117,115,102,11730,30,13,0,0,0,,0,1,2944,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,15,791,201,30,35,1050,15,62,77,18,76.02631123,,1,1,2975,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,16,779,7,130,33,4290,12,30,0,0,0,,0,1,3007,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,17,471,217,58,91,5278,28,19,0,0,0,,0,1,3030,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,18,513,320,124,42,5208,52,35,0,0,0,,0,1,3040,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,19,313,285,123,129,15867,44,23,0,0,0,,0,1,3060,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,20,855,314,110,104,11440,270,247,0,0,0,,0,1,3080,,,,,,,,,,,,,,
4,Smart Trackball,2D Task,2D Target Selection Task,21,726,254,76,36,2736,86,27,0,0,0,,0,1,3082,,,,,,,,,,,,,,
