Participant,Condition,Block,Task,Trial,Target.x,Target.y,Targetsize.b,Targetsize.l,Target Area,MousePositions.x,MousePositions.y,Error.x,Error.y,Euclidean_distance_error,,Error_count,Target_count,Target Area
13,Smart Tilt Pointer,2D Task,2D Target Selection Task,4,615,73,97,61,5917,83,20,0,0,0,,0,1,9546
13,Smart Tilt Pointer,2D Task,2D Target Selection Task,5,438,105,76,54,4104,46,31,0,0,0,,0,1,9576
13,Smart Tilt Pointer,2D Task,2D Target Selection Task,6,572,272,44,130,5720,23,39,196,399,399.4108161,,1,1,9576
13,Smart Tilt Pointer,2D Task,2D Target Selection Task,7,842,233,44,55,2420,27,34,131,401,381.4511764,,1,1,9594
13,Smart Tilt Pointer,2D Task,2D Target Selection Task,8,597,203,82,38,3116,54,21,0,0,0,,0,1,9595
13,Smart Trackball,2D Task,2D Target Selection Task,1,52,59,123,32,3936,44,15,0,0,0,,0,1,9604
13,Smart Trackball,2D Task,2D Target Selection Task,3,956,302,128,37,4736,78,22,0,0,0,,0,1,9752
13,Smart Trackball,2D Task,2D Target Selection Task,5,285,161,65,90,5850,41,32,0,0,0,,0,1,9890
13,Smart Trackball,2D Task,2D Target Selection Task,7,275,308,45,46,2070,24,32,0,0,0,,0,1,9890
13,Smart Trackball,2D Task,2D Target Selection Task,8,788,136,32,92,2944,12,58,124,331,295.0813447,,1,1,9900
13,Smart Trackball,2D Task,2D Target Selection Task,9,160,117,116,42,4872,99,16,0,0,0,,0,1,9963
13,Smart Trackball,2D Task,2D Target Selection Task,10,215,300,90,38,3420,44,25,142,284,276.9205662,,1,1,9996
13,Smart Trackball,2D Task,2D Target Selection Task,12,799,342,63,49,3087,41,17,0,0,0,,0,1,10004
13,Smart Trackball,2D Task,2D Target Selection Task,13,677,237,64,80,5120,31,29,0,0,0,,0,1,10004
13,Smart Trackball,2D Task,2D Target Selection Task,15,653,99,42,91,3822,16,16,0,0,0,,0,1,10112
14,Smart Tilt Pointer,2D Task,2D Target Selection Task,1,634,249,112,46,5152,68,17,0,0,0,,0,1,10140
14,Smart Tilt Pointer,2D Task,2D Target Selection Task,2,205,283,41,87,3567,27,55,25,440,385.0051948,,1,1,10191
14,Smart Tilt Pointer,2D Task,2D Target Selection Task,3,160,133,75,62,4650,33,31,0,0,0,,0,1,10200
14,Smart Tilt Pointer,2D Task,2D Target Selection Task,4,553,284,52,39,2028,31,19,161,370,374.3006813,,1,1,10201
14,Smart Tilt Pointer,2D Task,2D Target Selection Task,6,879,164,43,47,2021,37,24,38,261,237.0021097,,1,1,10209
14,Smart Tilt Pointer,2D Task,2D Target Selection Task,8,660,350,46,125,5750,20,21,0,0,0,,0,1,10240
14,Smart Tilt Pointer,2D Task,2D Target Selection Task,9,270,282,38,83,3154,27,38,141,338,320.9298989,,1,1,10260
14,Smart Tilt Pointer,2D Task,2D Target Selection Task,11,542,235,82,55,4510,51,31,0,0,0,,0,1,10323
14,Smart Tilt Pointer,2D Task,2D Target Selection Task,12,440,161,34,128,4352,24,42,68,284,245.9674775,,1,1,10323
14,Smart Trackball,2D Task,2D Target Selection Task,1,894,93,48,84,4032,21,27,0,0,0,,0,1,10340
14,Smart Trackball,2D Task,2D Target Selection Task,4,943,78,77,83,6391,30,67,0,0,0,,0,1,10486
14,Smart Trackball,2D Task,2D Target Selection Task,6,495,309,110,39,4290,48,17,0,0,0,,0,1,10496
14,Smart Trackball,2D Task,2D Target Selection Task,7,404,196,73,79,5767,29,47,0,0,0,,0,1,10502
14,Smart Trackball,2D Task,2D Target Selection Task,8,410,128,90,40,3600,50,26,0,0,0,,0,1,10506
14,Smart Trackball,2D Task,2D Target Selection Task,9,992,132,87,36,3132,35,19,0,0,0,,0,1,10527
14,Smart Trackball,2D Task,2D Target Selection Task,11,700,60,121,30,3630,100,7,0,0,0,,0,1,10540
14,Smart Trackball,2D Task,2D Target Selection Task,13,126,37,121,37,4477,87,24,0,0,0,,0,1,10670
14,Smart Trackball,2D Task,2D Target Selection Task,14,576,9,39,71,2769,8,41,147,232,236.2244695,,1,1,10670
14,Smart Rotate Pointer,2D Task,2D Target Selection Task,1,1017,134,79,40,3160,22,18,115,211,214.2381852,125,2,1,10738
14,Smart Rotate Pointer,2D Task,2D Target Selection Task,2,163,301,84,72,6048,18,47,0,0,0,0,0,1,10738
14,Smart Rotate Pointer,2D Task,2D Target Selection Task,3,531,54,37,32,1184,42,13,493,336,554.7341706,493,2,1,10788
14,Smart Rotate Pointer,2D Task,2D Target Selection Task,5,836,202,38,41,1558,47,361,0,0,0,,0,1,10824
14,Smart Rotate Pointer,2D Task,2D Target Selection Task,8,432,32,35,109,3815,14,76,186,281,267.59858,,1,1,10989
14,Smart Rotate Pointer,2D Task,2D Target Selection Task,9,400,179,49,104,5096,23,40,0,0,0,,0,1,11000
14,Smart Trackpad,2D Task,2D Target Selection Task,1,220,299,76,60,4560,58,15,0,0,0,,0,1,11000
