Participant,Condition,Block,Task,Trial,temp.x,temp.y,temp.z,final.x,final.y,final.z,timems,templateformat.x,finalformat.x,error.x,templateformat.y,finalformat.y,error.y,templateformat.z,finalformat.z,error.z,errorneg.x,errorneg.y,errorneg.z,sumofsq,template.xp,template.yp,template.zp,final.xp,final.yp,final.zp,Euclidean_distance
8,Smart Trackball,3D Task,3D Model Rotation,2,-36.84882863,-35.95469564,-36.84882863,27.2165122,5.867284057,-61.46341591,40000,396.8488286,27.2165122,-369.6323164,395.9546956,5.867284057,-390.0874116,396.8488286,421.4634159,24.61458728,369.6323164,390.0874115,24.6145873,289402.1158,5.640051922,5.655657478,5.640051922,0.475017749,0.102403424,5.21044633,7.596102261
8,Smart Trackball,3D Task,3D Model Rotation,3,36.80665023,-36.04008952,36.80665023,26.9566279,9.883501864,65.87824763,33000,36.80665023,26.9566279,-9.85002233,396.0400895,9.883501864,-386.1565877,36.80665023,65.87824763,29.0715974,9.85002233,386.1565876,29.0715974,150059.0909,0.642397233,5.654167069,0.642397233,0.470481912,0.172499648,1.149792327,5.507783799
8,Smart Tilt Pointer,3D Task,3D Model Rotation,1,40.47878157,-27.96022222,40.47878157,-104.2371986,-49.69446729,-167.4770953,25000,40.47878157,464.2371986,423.758417,387.9602222,409.6944673,21.73424507,40.47878157,527.4770953,486.9983137,423.758417,21.7342451,486.9983137,417210.9309,0.706488016,5.795187376,0.706488016,4.463902988,5.415853231,3.360158573,4.615628786
8,Smart Tilt Pointer,3D Task,3D Model Rotation,2,39.36541586,-30.55544273,39.36541586,-81.54718517,-53.54920858,168.0523847,24000,39.36541586,441.5471852,402.1817693,390.5554427,413.5492086,22.99376585,39.36541586,168.0523847,128.6869688,402.1817693,22.9937659,128.6869688,178839.2248,0.687056118,5.749892231,0.687056118,4.85991843,5.348575306,2.933067428,4.755880776
8,Smart Tilt Pointer,3D Task,3D Model Rotation,3,38.20547928,-33.1204946,38.20547928,112.3177756,43.31352023,136.7511126,22000,38.20547928,112.3177756,74.11229632,393.1204946,43.31352023,-349.8069744,38.20547928,136.7511126,98.54563332,74.11229632,349.8069744,98.54563332,137568.7937,0.666811406,5.705123638,0.666811406,1.960314992,0.75596354,2.386757171,1.396809302
8,Smart Rotate Pointer,3D Task,3D Model Rotation,1,41.47546496,-25.51703912,41.47546496,97.51494755,-15.2577037,-74.28410069,38000,41.47546496,97.51494755,56.03948259,385.5170391,375.2577037,-10.25933542,41.47546496,434.2841007,392.8086357,56.03948259,10.2593354,392.8086357,157544.3019,0.723883422,5.837828953,0.723883422,1.701956905,6.016888145,4.986683168,4.377231043
8,Smart Rotate Pointer,3D Task,3D Model Rotation,2,38.65518534,-32.14213568,38.65518534,50.82443811,-1.422909996,-91.39943293,21000,38.65518534,50.82443811,12.16925277,392.1421357,361.42291,-30.71922568,38.65518534,451.3994329,412.7442476,12.16925277,30.7192257,412.7442476,171449.5755,0.674660257,5.722199234,0.674660257,0.648919719,6.258350843,0.887053785,0.577262621
8,Smart Rotate Pointer,3D Task,3D Model Rotation,3,13.91787164,-64.53076287,13.91787164,119.8091966,-17.18177001,-106.4659119,45000,13.91787164,119.8091966,105.891325,424.5307629,377.18177,-47.34899286,13.91787164,466.4659119,452.5480403,105.891325,47.3489929,452.5480403,218254.6286,0.242912685,5.156910991,0.242912685,2.091064954,5.983306848,4.425004604,4.646341544
8,Smart Trackpad,3D Task,3D Model Rotation,1,35.41037707,-38.77895658,35.41037707,148.6878265,-62.88406839,-85.24709533,43000,35.41037707,148.6878265,113.2774494,398.7789566,422.8840684,24.10511181,35.41037707,445.2470953,409.8367183,113.2774494,24.1051118,409.8367182,181378.9725,0.618027669,5.606364829,0.618027669,2.59509213,5.185651269,4.795342816,4.640662196
8,Smart Trackpad,3D Task,3D Model Rotation,2,37.38095831,-34.86347837,37.38095831,-20.70113228,-20.64501243,56.64363996,44000,37.38095831,380.7011323,343.320174,394.8634784,380.6450124,-14.21846594,37.38095831,56.64363996,19.26268165,343.320174,14.218466,19.26268165,118441.9576,0.6524208,5.674702813,0.6524208,5.92188239,5.922861871,0.988618018,5.286003872
8,Smart Trackpad,3D Task,3D Model Rotation,3,28.37843336,-50.28401517,28.37843336,-159.8622477,45.69758223,-111.8161534,39000,28.37843336,519.8622477,491.4838143,410.2840152,45.69758223,-364.5864329,28.37843336,471.8161534,443.43772,491.4838143,364.586433,443.43772,571116.6184,0.495297099,5.405563657,0.495297099,3.493062735,0.797573271,4.331625274,6.703550408
9,Smart Tilt Pointer,3D Task,3D Model Rotation,1,-33.56317968,-42.15374036,-33.56317968,154.5025719,43.66759099,110.8537551,36000,393.5631797,154.5025719,-239.0606078,402.1537404,43.66759099,-358.4861494,393.5631797,110.8537551,-282.7094246,239.0606078,358.4861494,282.7094246,265586.9123,5.697397314,5.54746374,5.697397314,2.696578582,0.762143242,1.934763015,1.786871312
9,Smart Tilt Pointer,3D Task,3D Model Rotation,2,-32.16657608,-44.53021003,-32.16657608,-20.3844728,-36.19010414,21:01:13,25000,392.1665761,380.3844728,-11.7821033,404.53021,396.1901041,-8.34010589,392.1665761,0.875844907,-391.2907312,11.7821033,8.3401059,391.2907312,153316.8116,5.721772645,5.505986483,5.721772645,5.92740914,5.651548834,5.700097116,0.252872685
9,Smart Tilt Pointer,3D Task,3D Model Rotation,3,41.14103853,-26.35006247,41.14103853,-113.3944391,-11.76444093,-177.2432337,34000,41.14103853,473.3944391,432.2534006,386.3500625,371.7644409,-14.58562154,41.14103853,537.2432337,496.1021952,432.2534006,14.5856216,496.1021952,433173.1308,0.71804658,5.823289959,0.71804658,4.304078991,6.077857078,3.189707302,1.362744503
9,Smart Rotate Pointer,3D Task,3D Model Rotation,1,-35.60875602,-38.40001564,-35.60875602,102.6804477,-49.26058887,-179.4642913,18000,395.608756,102.6804477,-292.9283083,398.4000156,409.2605889,10.86057323,395.608756,539.4642913,143.8555353,292.9283083,10.8605733,143.8555353,106619.3609,5.661695272,5.612978608,5.661695272,3.150942533,5.423425836,2.053617698,4.399776512
9,Smart Rotate Pointer,3D Task,3D Model Rotation,2,40.49120313,-27.93049101,40.49120313,56.0639351,4.964859023,73.91667248,41000,40.49120313,56.0639351,15.57273197,387.930491,4.964859023,-382.965632,40.49120313,73.91667248,33.42546935,15.57273197,382.965632,33.42546935,148022.4473,0.706704813,5.795706283,0.706704813,0.978500259,0.086653137,1.290089307,3.745215231
9,Smart Rotate Pointer,3D Task,3D Model Rotation,3,41.64489764,-25.08972366,41.64489764,58.73595229,6.192659575,37.49730475,38000,41.64489764,58.73595229,17.09105465,385.0897237,6.192659575,-378.8970641,41.64489764,37.49730475,-4.14759289,17.09105465,378.8970641,4.14759289,143872.2919,0.726840581,5.845287018,0.726840581,1.025135757,0.108082299,0.654451429,5.745410184
9,Smart Trackpad,3D Task,3D Model Rotation,1,40.9239472,-26.88356997,40.9239472,88.96127705,6.791991225,54.98535313,40000,40.9239472,88.96127705,48.03732985,386.88357,6.791991225,-380.0915787,40.9239472,54.98535313,14.06140593,48.03732985,380.0915788,14.06140593,146974.9165,0.714257621,5.813978492,0.714257621,1.552667191,0.11854261,0.959675453,5.762043943
9,Smart Trackpad,3D Task,3D Model Rotation,2,40.77213757,-27.2533231,40.77213757,118.5685043,13.84247254,173.7941002,26000,40.77213757,118.5685043,77.79636673,387.2533231,13.84247254,-373.4108506,40.77213757,173.7941002,133.0219626,77.79636673,373.4108506,133.0219626,163182.7806,0.711608044,5.807525083,0.711608044,2.069410789,0.241596722,3.033279269,6.181694274
9,Smart Trackpad,3D Task,3D Model Rotation,3,31.74878956,-45.21328592,31.74878956,34.31276133,8.488704163,48.09824843,31000,31.74878956,34.31276133,2.56397177,405.2132859,8.488704163,-396.7245818,31.74878956,48.09824843,16.34945887,2.56397177,396.7245817,16.34945887,157664.2725,0.554120911,5.494064582,0.554120911,0.598870661,0.148155838,0.8394728,5.353706056
9,Smart Trackball,3D Task,3D Model Rotation,1,36.7259728,-36.20298313,36.7259728,43.58549021,-12.44424087,53.65676898,24000,36.7259728,43.58549021,6.85951741,396.2029831,372.4442409,-23.75874226,36.7259728,53.65676898,16.93079618,6.85951741,23.7587422,16.93079618,898.1826693,0.640989146,5.651324064,0.640989146,0.76071031,6.065992331,0.936487285,0.52306986
9,Smart Trackball,3D Task,3D Model Rotation,2,41.72015861,-24.89875503,41.72015861,107.8528288,-7.410689383,-68.1239718,26000,41.72015861,107.8528288,66.13267019,384.898755,367.4106894,-17.48806565,41.72015861,428.1239718,386.4038132,66.13267019,17.4880656,386.4038132,153987.2694,0.728154132,5.848620057,0.728154132,0.54408054,5.478003639,0.54408054,0.45290474
